,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Creating Equitablea more andJust World 2021 Social Impact Report Throughout 2021, The UPS Foundation supported some of the toughest issues facing our global communities.","('Human_Rights_And_Community_Relations', 0.9263764023780823)","('Management_Of_Legal_And_Regulatory_Framework', 0.008513624779880047)","('Access_And_Affordability', 0.007389528211206198)","(['Stakeholder Engagement'], 0.9263764023780823)","('NON-ESG', 0.008513624779880047)","('NON-ESG', 0.007389528211206198)"
Line 2,"This years Social Impact Report highlights the Foundations historical footprint, innovative solutions, collaborative partnerships, and employee commitment to giving back.","('Human_Rights_And_Community_Relations', 0.7466287612915039)","('Business_Model_Resilience', 0.0389074832201004)","('Access_And_Affordability', 0.03151002898812294)","(['Stakeholder Engagement'], 0.7466287612915039)","('NON-ESG', 0.0389074832201004)","('NON-ESG', 0.03151002898812294)"
Line 3,"Together, we are on a mission to create a more equitable and just world.","('Human_Rights_And_Community_Relations', 0.46079257130622864)","('Employee_Engagement_Inclusion_And_Diversity', 0.18302302062511444)","('Access_And_Affordability', 0.05726977065205574)","('NON-ESG', 0.46079257130622864)","('NON-ESG', 0.18302302062511444)","('NON-ESG', 0.05726977065205574)"
Line 4,We invite you to join us on this interactive journey to learn more about how we have engaged in our communities and the lives weve impacted through our efforts.,"('Human_Rights_And_Community_Relations', 0.9326246380805969)","('Access_And_Affordability', 0.018086953088641167)","('Employee_Health_And_Safety', 0.004871587734669447)","(['Stakeholder Engagement'], 0.9326246380805969)","('NON-ESG', 0.018086953088641167)","('NON-ESG', 0.004871587734669447)"
Line 5,"Nicole Nikki Clifton President Social Impact and The UPS Foundation Welcome Message from Nikki Clifton $69.4M gifted in grants and sponsorships worldwide170 countries reached through global philanthropy30+ humanitarian crises responded to globally3.2M trees planted to advance environmental goals1.1M volunteer service hours recorded34.5M COVID-19 vaccines delivered in-kind to countries in need (of the total $1B delivered by UPS)$51.4M contributed to United Way by employees and retirees 108 Advancing global vaccine equity with innovation 09 Strengthening cold chain capabilities in Central America 09 Delivering urgent COVID-19 relief to India and its people 10 Restoring homes, restoring dignity 10 Providing safe drinking water to meet basic needs 11 Helping in the aftermath of hurricanes 11 Stepping up for Haiti earthquake victims 12 Supporting Afghan refugees dreams for a better tomorrow 12 Helping CARE empower women and girls globally07H L PEHealth & Humanitarian Relief 20 Transforming smiles and changing lives 20 Fostering learning across Colombia with new school libraries 21 Uniting to give veterans greater freedom of mobility 21 Delivering what matters when natural disasters strike 22 Celebrating the Jim Casey Community Service Award Finalists 23 Honoring the 2021 Jim Casey Community Service Award Winner 19Local Community Engagement14 Boosting microfinancing for women-owned businesses worldwide 15 Helping women-owned businesses thrive 15 Forging a brighter future through higher education 16 Protecting the vulnerable from human trafficking 16 Restoring dignity and fostering self-sufficiency across Atlanta 17 Working to achieve zero hunger 17 Funding scholarship opportunities at Historically Black Colleges and Universities 18 Providing access to high-quality legal aid 18 Activating allyship with LGBTQ+ communities 13Equity & Economic Empowerment 25 Creating a flowering forest to honor Congressman John Lewis legacy 26 Building a green memorial to honor 9/11 heroes 26 Promoting sustainability in the worlds most biodiverse regions 27 Launching the Forest of the Future through carbon-free shipping at Expo 2020 Dubai 27 Creating logistics tools to reach Net Zero faster 28 Revitalizing ecosystems after devastating wildfires 28 Inspiring the next generation of conservation leaders24Planet ProtectionContents 2I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Celebrating 70 years of community engagement.","('Access_And_Affordability', 0.7183921337127686)","('Human_Rights_And_Community_Relations', 0.08252597600221634)","('Critical_Incident_Risk_Management', 0.03688878193497658)","([], 0.7183921337127686)","('NON-ESG', 0.08252597600221634)","('NON-ESG', 0.03688878193497658)"
Line 6,"Nicole Nikki Clifton President Social Impact and The UPS Foundation Welcome Message from Nikki Clifton $69.4M gifted in grants and sponsorships worldwide170 countries reached through global philanthropy30+ humanitarian crises responded to globally3.2M trees planted to advance environmental goals1.1M volunteer service hours recorded34.5M COVID-19 vaccines delivered in-kind to countries in need (of the total $1B delivered by UPS)$51.4M contributed to United Way by employees and retirees 108 Advancing global vaccine equity with innovation 09 Strengthening cold chain capabilities in Central America 09 Delivering urgent COVID-19 relief to India and its people 10 Restoring homes, restoring dignity 10 Providing safe drinking water to meet basic needs 11 Helping in the aftermath of hurricanes 11 Stepping up for Haiti earthquake victims 12 Supporting Afghan refugees dreams for a better tomorrow 12 Helping CARE empower women and girls globally07H L PEHealth & Humanitarian Relief 20 Transforming smiles and changing lives 20 Fostering learning across Colombia with new school libraries 21 Uniting to give veterans greater freedom of mobility 21 Delivering what matters when natural disasters strike 22 Celebrating the Jim Casey Community Service Award Finalists 23 Honoring the 2021 Jim Casey Community Service Award Winner 19Local Community Engagement14 Boosting microfinancing for women-owned businesses worldwide 15 Helping women-owned businesses thrive 15 Forging a brighter future through higher education 16 Protecting the vulnerable from human trafficking 16 Restoring dignity and fostering self-sufficiency across Atlanta 17 Working to achieve zero hunger 17 Funding scholarship opportunities at Historically Black Colleges and Universities 18 Providing access to high-quality legal aid 18 Activating allyship with LGBTQ+ communities 13Equity & Economic Empowerment 25 Creating a flowering forest to honor Congressman John Lewis legacy 26 Building a green memorial to honor 9/11 heroes 26 Promoting sustainability in the worlds most biodiverse regions 27 Launching the Forest of the Future through carbon-free shipping at Expo 2020 Dubai 27 Creating logistics tools to reach Net Zero faster 28 Revitalizing ecosystems after devastating wildfires 28 Inspiring the next generation of conservation leaders24Planet ProtectionContents 2I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Celebrating 70 years of community engagement.","('Critical_Incident_Risk_Management', 0.517551600933075)","('Access_And_Affordability', 0.1459033340215683)","('Employee_Health_And_Safety', 0.0801418349146843)","(['Risk & Crisis Management'], 0.517551600933075)","('NON-ESG', 0.1459033340215683)","('NON-ESG', 0.0801418349146843)"
Line 7,"Nicole Nikki Clifton President Social Impact and The UPS Foundation Welcome Message from Nikki Clifton $69.4M gifted in grants and sponsorships worldwide170 countries reached through global philanthropy30+ humanitarian crises responded to globally3.2M trees planted to advance environmental goals1.1M volunteer service hours recorded34.5M COVID-19 vaccines delivered in-kind to countries in need (of the total $1B delivered by UPS)$51.4M contributed to United Way by employees and retirees 108 Advancing global vaccine equity with innovation 09 Strengthening cold chain capabilities in Central America 09 Delivering urgent COVID-19 relief to India and its people 10 Restoring homes, restoring dignity 10 Providing safe drinking water to meet basic needs 11 Helping in the aftermath of hurricanes 11 Stepping up for Haiti earthquake victims 12 Supporting Afghan refugees dreams for a better tomorrow 12 Helping CARE empower women and girls globally07H L PEHealth & Humanitarian Relief 20 Transforming smiles and changing lives 20 Fostering learning across Colombia with new school libraries 21 Uniting to give veterans greater freedom of mobility 21 Delivering what matters when natural disasters strike 22 Celebrating the Jim Casey Community Service Award Finalists 23 Honoring the 2021 Jim Casey Community Service Award Winner 19Local Community Engagement14 Boosting microfinancing for women-owned businesses worldwide 15 Helping women-owned businesses thrive 15 Forging a brighter future through higher education 16 Protecting the vulnerable from human trafficking 16 Restoring dignity and fostering self-sufficiency across Atlanta 17 Working to achieve zero hunger 17 Funding scholarship opportunities at Historically Black Colleges and Universities 18 Providing access to high-quality legal aid 18 Activating allyship with LGBTQ+ communities 13Equity & Economic Empowerment 25 Creating a flowering forest to honor Congressman John Lewis legacy 26 Building a green memorial to honor 9/11 heroes 26 Promoting sustainability in the worlds most biodiverse regions 27 Launching the Forest of the Future through carbon-free shipping at Expo 2020 Dubai 27 Creating logistics tools to reach Net Zero faster 28 Revitalizing ecosystems after devastating wildfires 28 Inspiring the next generation of conservation leaders24Planet ProtectionContents 2I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Celebrating 70 years of community engagement.","('Human_Rights_And_Community_Relations', 0.4749695956707001)","('Employee_Engagement_Inclusion_And_Diversity', 0.17820602655410767)","('Access_And_Affordability', 0.106011301279068)","('NON-ESG', 0.4749695956707001)","('NON-ESG', 0.17820602655410767)","('NON-ESG', 0.106011301279068)"
Line 8,"Nicole Nikki Clifton President Social Impact and The UPS Foundation Welcome Message from Nikki Clifton $69.4M gifted in grants and sponsorships worldwide170 countries reached through global philanthropy30+ humanitarian crises responded to globally3.2M trees planted to advance environmental goals1.1M volunteer service hours recorded34.5M COVID-19 vaccines delivered in-kind to countries in need (of the total $1B delivered by UPS)$51.4M contributed to United Way by employees and retirees 108 Advancing global vaccine equity with innovation 09 Strengthening cold chain capabilities in Central America 09 Delivering urgent COVID-19 relief to India and its people 10 Restoring homes, restoring dignity 10 Providing safe drinking water to meet basic needs 11 Helping in the aftermath of hurricanes 11 Stepping up for Haiti earthquake victims 12 Supporting Afghan refugees dreams for a better tomorrow 12 Helping CARE empower women and girls globally07H L PEHealth & Humanitarian Relief 20 Transforming smiles and changing lives 20 Fostering learning across Colombia with new school libraries 21 Uniting to give veterans greater freedom of mobility 21 Delivering what matters when natural disasters strike 22 Celebrating the Jim Casey Community Service Award Finalists 23 Honoring the 2021 Jim Casey Community Service Award Winner 19Local Community Engagement14 Boosting microfinancing for women-owned businesses worldwide 15 Helping women-owned businesses thrive 15 Forging a brighter future through higher education 16 Protecting the vulnerable from human trafficking 16 Restoring dignity and fostering self-sufficiency across Atlanta 17 Working to achieve zero hunger 17 Funding scholarship opportunities at Historically Black Colleges and Universities 18 Providing access to high-quality legal aid 18 Activating allyship with LGBTQ+ communities 13Equity & Economic Empowerment 25 Creating a flowering forest to honor Congressman John Lewis legacy 26 Building a green memorial to honor 9/11 heroes 26 Promoting sustainability in the worlds most biodiverse regions 27 Launching the Forest of the Future through carbon-free shipping at Expo 2020 Dubai 27 Creating logistics tools to reach Net Zero faster 28 Revitalizing ecosystems after devastating wildfires 28 Inspiring the next generation of conservation leaders24Planet ProtectionContents 2I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Celebrating 70 years of community engagement.","('Human_Rights_And_Community_Relations', 0.46332624554634094)","('Employee_Engagement_Inclusion_And_Diversity', 0.29116716980934143)","('Access_And_Affordability', 0.08233699947595596)","('NON-ESG', 0.46332624554634094)","('NON-ESG', 0.29116716980934143)","('NON-ESG', 0.08233699947595596)"
Line 9,"Nicole Nikki Clifton President Social Impact and The UPS Foundation Welcome Message from Nikki Clifton $69.4M gifted in grants and sponsorships worldwide170 countries reached through global philanthropy30+ humanitarian crises responded to globally3.2M trees planted to advance environmental goals1.1M volunteer service hours recorded34.5M COVID-19 vaccines delivered in-kind to countries in need (of the total $1B delivered by UPS)$51.4M contributed to United Way by employees and retirees 108 Advancing global vaccine equity with innovation 09 Strengthening cold chain capabilities in Central America 09 Delivering urgent COVID-19 relief to India and its people 10 Restoring homes, restoring dignity 10 Providing safe drinking water to meet basic needs 11 Helping in the aftermath of hurricanes 11 Stepping up for Haiti earthquake victims 12 Supporting Afghan refugees dreams for a better tomorrow 12 Helping CARE empower women and girls globally07H L PEHealth & Humanitarian Relief 20 Transforming smiles and changing lives 20 Fostering learning across Colombia with new school libraries 21 Uniting to give veterans greater freedom of mobility 21 Delivering what matters when natural disasters strike 22 Celebrating the Jim Casey Community Service Award Finalists 23 Honoring the 2021 Jim Casey Community Service Award Winner 19Local Community Engagement14 Boosting microfinancing for women-owned businesses worldwide 15 Helping women-owned businesses thrive 15 Forging a brighter future through higher education 16 Protecting the vulnerable from human trafficking 16 Restoring dignity and fostering self-sufficiency across Atlanta 17 Working to achieve zero hunger 17 Funding scholarship opportunities at Historically Black Colleges and Universities 18 Providing access to high-quality legal aid 18 Activating allyship with LGBTQ+ communities 13Equity & Economic Empowerment 25 Creating a flowering forest to honor Congressman John Lewis legacy 26 Building a green memorial to honor 9/11 heroes 26 Promoting sustainability in the worlds most biodiverse regions 27 Launching the Forest of the Future through carbon-free shipping at Expo 2020 Dubai 27 Creating logistics tools to reach Net Zero faster 28 Revitalizing ecosystems after devastating wildfires 28 Inspiring the next generation of conservation leaders24Planet ProtectionContents 2I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Celebrating 70 years of community engagement.","('Ecological_Impacts', 0.8565474152565002)","('Human_Rights_And_Community_Relations', 0.07550525665283203)","('GHG_Emissions', 0.008058897219598293)","([], 0.8565474152565002)","('NON-ESG', 0.07550525665283203)","('NON-ESG', 0.008058897219598293)"
Line 10,1951 Founded as The 1907 Foundation in November.,"('Management_Of_Legal_And_Regulatory_Framework', 0.2645907402038574)","('Ecological_Impacts', 0.10271191596984863)","('Director_Removal', 0.07645288854837418)","('NON-ESG', 0.2645907402038574)","('NON-ESG', 0.10271191596984863)","('NON-ESG', 0.07645288854837418)"
